#pK pK_min pK_max cos_cm cos_cm_err Acceptance
766 765 767 -0.4 0.0666667 0.776547
766 765 767 -0.266667 0.0666667 0.783133
766 765 767 -0.133333 0.0666667 0.789749
766 765 767 -2.77556e-17 0.0666667 0.753318
766 765 767 0.133333 0.0666667 0.775107
766 765 767 0.266667 0.0666667 0.736756
766 765 767 0.4 0.0666667 0.763525
766 765 767 0.533333 0.0666667 0.773792
766 765 767 0.666667 0.0666667 0.755542
766 765 767 0.8 0.0666667 0.754795
766 765 767 0.933333 0.0666667 0.723637
770 769 771 -0.933333 0.0666667 0.810436
770 769 771 -0.8 0.0666667 0.799293
770 769 771 -0.666667 0.0666667 0.823939
770 769 771 -0.533333 0.0666667 0.821028
770 769 771 -0.4 0.0666667 0.786955
770 769 771 -0.266667 0.0666667 0.804352
770 769 771 -0.133333 0.0666667 0.772032
770 769 771 -2.77556e-17 0.0666667 0.796003
770 769 771 0.133333 0.0666667 0.750899
770 769 771 0.266667 0.0666667 0.764963
770 769 771 0.4 0.0666667 0.751843
770 769 771 0.533333 0.0666667 0.749857
770 769 771 0.666667 0.0666667 0.755232
770 769 771 0.8 0.0666667 0.729364
770 769 771 0.933333 0.0666667 0.707766
