#pK pK_min pK_max cos_cm cos_cm_err Entry
730 729 731 -0.8 0.0666667 161.663
730 729 731 -0.666667 0.0666667 133.904
730 729 731 -0.533333 0.0666667 110.997
730 729 731 -0.4 0.0666667 84.333
730 729 731 -0.266667 0.0666667 66.4597
730 729 731 -0.133333 0.0666667 77.8768
730 729 731 -2.77556e-17 0.0666667 83.4576
730 729 731 0.133333 0.0666667 103.301
730 729 731 0.266667 0.0666667 117.599
730 729 731 0.4 0.0666667 134.342
730 729 731 0.533333 0.0666667 143.242
730 729 731 0.666667 0.0666667 175.451
730 729 731 0.8 0.0666667 184.497
730 729 731 0.933333 0.0666667 202.735
732 731 733 -0.933333 0.0666667 286.722
732 731 733 -0.8 0.0666667 206.46
732 731 733 -0.666667 0.0666667 165.609
732 731 733 -0.533333 0.0666667 138.445
732 731 733 -0.4 0.0666667 126.664
732 731 733 -0.266667 0.0666667 99.967
732 731 733 -0.133333 0.0666667 107.891
732 731 733 -2.77556e-17 0.0666667 111.324
732 731 733 0.133333 0.0666667 126.156
732 731 733 0.266667 0.0666667 139.589
732 731 733 0.4 0.0666667 148.997
732 731 733 0.533333 0.0666667 148.192
732 731 733 0.666667 0.0666667 175.906
732 731 733 0.8 0.0666667 182.771
732 731 733 0.933333 0.0666667 198.536
734 733 735 -0.933333 0.0666667 346.499
734 733 735 -0.8 0.0666667 231.048
734 733 735 -0.666667 0.0666667 198.02
734 733 735 -0.533333 0.0666667 143.039
734 733 735 -0.4 0.0666667 114.296
734 733 735 -0.266667 0.0666667 80.2095
734 733 735 -0.133333 0.0666667 86.1314
734 733 735 -2.77556e-17 0.0666667 76.1654
734 733 735 0.133333 0.0666667 99.7082
734 733 735 0.266667 0.0666667 124.647
734 733 735 0.4 0.0666667 162.489
734 733 735 0.533333 0.0666667 192.724
734 733 735 0.666667 0.0666667 243.71
734 733 735 0.8 0.0666667 275.967
734 733 735 0.933333 0.0666667 362.435
738 737 739 -0.933333 0.0666667 345.138
738 737 739 -0.8 0.0666667 268.159
738 737 739 -0.666667 0.0666667 199.941
738 737 739 -0.533333 0.0666667 164.774
738 737 739 -0.4 0.0666667 150.635
738 737 739 -0.266667 0.0666667 119.638
738 737 739 -0.133333 0.0666667 159.941
738 737 739 -2.77556e-17 0.0666667 154.321
738 737 739 0.133333 0.0666667 194.926
