# E72Physics physics runs only; source run lists: /home/had/haein/work/e72/ana/e72/runmanager/runlist/tpc_runinfo
# K-beam normalization: scaler K-Beam; DAQ-Eff is K-Beam weighted.
# TRIG-D is retained only as a diagnostic scaler counter.
# rows are globally sorted by run number.
# momentum_mev run nKbeam_K-Beam TRIG-D DAQ-Eff K-BeamxDAQ-Eff run_list
  735  2357      5969617     86205383  0.747534 4462491.674478 E72Physics_735_2.txt
  735  2359     13806800    222418492  0.743462 10264831.141600 E72Physics_735_3.txt
  735  2360      6925332    111572222  0.743921 5151899.906772 E72Physics_735_3.txt
  735  2361     15908903    256458957  0.744662 11846755.525786 E72Physics_735_3.txt
  735  2362     13735504    221563559  0.748267 10277824.371568 E72Physics_735_3.txt
  735  2363      3087732     49768748  0.747194 2307134.824008 E72Physics_735_3.txt
  735  2364     16224599    261380864  0.748840 12149628.715160 E72Physics_735_3.txt
  735  2365      3686364     59307156  0.745720 2748995.362080 E72Physics_735_3.txt
  735  2366      9876559    158952661  0.746641 7374243.888319 E72Physics_735_3.txt
  735  2368     13483231    216927160  0.748428 10091227.610868 E72Physics_735_3.txt
  735  2369     15090896    243232249  0.742180 11200161.193280 E72Physics_735_3.txt
  735  2370     13290122    213840601  0.732569 9735931.383418 E72Physics_735_3.txt
  735  2372     13177167     13177189  0.725947 9565924.852149 E72Physics_735_3.txt
  735  2373     13039412     13039428  0.719737 9384947.274644 E72Physics_735_3.txt
  735  2374      9484138      9484149  0.714694 6778256.523772 E72Physics_735_3.txt
  735  2376       457590       457589  0.681857  312010.944630 E72Physics_735_3.txt
  735  2377     12789700     12789714  0.716178 9159701.766600 E72Physics_735_4.txt
  735  2378     12881599     12881608  0.735909 9479684.638491 E72Physics_735_4.txt
  735  2379     12921748     12921764  0.738089 9537400.059572 E72Physics_735_4.txt
  735  2380      9093922      9093929  0.739453 6724527.904666 E72Physics_735_4.txt
  735  2382      4196923      4196932  0.743512 3120462.613576 E72Physics_735_4.txt
  735  2383      7836859      7836862  0.746192 5847801.490928 E72Physics_735_4.txt
  735  2384        81877        81877  0.754507   61776.769639 E72Physics_735_4.txt
  735  2385     11800993     11801005  0.746360 8807789.135480 E72Physics_735_4.txt
  735  2386     18216484     18216504  0.744997 13571225.930548 E72Physics_735_4.txt
  735  2387           -1           -1 -1.000000      -1.000000 E72Physics_735_4.txt
  735  2388      1526539      1526541  0.739876 1129449.569164 E72Physics_735_4.txt
  735  2408      8486937      8486946  0.775128 6578462.502936 E72Physics_735_5.txt
  735  2409     24552622     24552633  0.768128 18859556.431616 E72Physics_735_5.txt
  735  2410     11152938     11152954  0.759530 8470990.999140 E72Physics_735_5.txt
  735  2411      9441719      9441733  0.758850 7164848.463150 E72Physics_735_5.txt
  735  2412      9450157      9450165  0.753486 7120560.997302 E72Physics_735_5.txt
  735  2413     10614418     10614422  0.750546 7966608.972228 E72Physics_735_5.txt
  735  2414     10553217     10553223  0.746919 7882398.288423 E72Physics_735_5.txt
  735  2415     10399843     10399854  0.749474 7794411.932582 E72Physics_735_5.txt
  735  2416      9930219      9930233  0.744344 7391498.931336 E72Physics_735_5.txt
  735  2417      9367615      9367625  0.740435 6936110.012525 E72Physics_735_5.txt
  735  2418      9389418      9389437  0.741853 6965567.911554 E72Physics_735_5.txt
  735  2419     10225835     10225844  0.742679 7594512.911965 E72Physics_735_5.txt
  735  2420      9367507      9367517  0.736746 6901473.312222 E72Physics_735_5.txt
  735  2421      4438793      4438798  0.728263 3232608.706559 E72Physics_735_5.txt
  735  2423      9312538      9312559  0.735647 6850740.642086 E72Physics_735_5.txt
  735  2424      9496079      9496102  0.735483 6984204.671157 E72Physics_735_5.txt
  735  2425      9316403      9316414  0.729660 6797806.612980 E72Physics_735_5.txt
  735  2426      9055849      9055860  0.727262 6585974.855438 E72Physics_735_5.txt
  735  2427      9866418      9866431  0.726016 7163177.330688 E72Physics_735_5.txt
  735  2428      1289312      1289313  0.718344  926169.539328 E72Physics_735_5.txt
  735  2429        90755      1072060  0.718690   65224.710950 E72Physics_735_5.txt
  735  2431      9747747      9747754  0.723758 7055009.873226 E72Physics_735_5.txt
  735  2432      4680266      4680268  0.722656 3382222.306496 E72Physics_735_5.txt
  735  2434      9467837      9467850  0.722530 6840796.267610 E72Physics_735_5.txt
  735  2435     15019662     15019681  0.720915 10827899.630730 E72Physics_735_5.txt
  735  2436     13222874     13222890  0.718571 9501573.793054 E72Physics_735_5.txt
  735  2437     11821947     11821965  0.717549 8482826.247903 E72Physics_735_5.txt
  735  2438     11855653     11855657  0.720374 8540504.174222 E72Physics_735_5.txt
  735  2439     11890358     11890366  0.717947 8536646.855026 E72Physics_735_5.txt
  735  2440     11893357     11893364  0.717804 8537099.228028 E72Physics_735_5.txt
  735  2441       397147       397148  0.707175  280852.429725 E72Physics_735_5.txt
  735  2447     13541936     13541952  0.764289 10349952.723504 E72Physics_735_6.txt
  735  2449     14021079     14380863  0.746931 10472778.558549 E72Physics_735_6.txt
  735  2450     13690023     13690033  0.746120 10214399.960760 E72Physics_735_6.txt
  735  2451     13584887     13584897  0.751671 10211365.596177 E72Physics_735_6.txt
  735  2452     13510595     13510611  0.751703 10155954.793285 E72Physics_735_6.txt
  735  2453     13508913     13508924  0.755035 10199702.126955 E72Physics_735_6.txt
  735  2454      9511727      9511740  0.752504 7157612.614408 E72Physics_735_6.txt
  735  2456     13480415     13480434  0.754851 10175704.743165 E72Physics_735_6.txt
  735  2457     13417566     13417579  0.755274 10133938.743084 E72Physics_735_6.txt
  735  2458     13407617     13407634  0.760089 10190982.197913 E72Physics_735_6.txt
  735  2459     13383259     13383274  0.763127 10213126.290893 E72Physics_735_6.txt
  735  2460     18025010     18025023  0.766312 13812781.463120 E72Physics_735_6.txt
  735  2462     15368188     15368206  0.771830 11861628.544040 E72Physics_735_6.txt
  735  2463      3628411      3628415  0.764831 2775121.213541 E72Physics_735_6.txt
  735  2465     14011285     14011297  0.769456 10781067.310960 E72Physics_735_6.txt
  735  2466     10988583     10988592  0.767447 8433155.057601 E72Physics_735_6.txt
  735  2468      3333544      3333548  0.770721 2569232.365224 E72Physics_735_6.txt
  735  2485     14599446     14599459  0.681791 9953770.887786 E72Physics_735_7.txt
  735  2486      8451486      8451490  0.677505 5725924.022430 E72Physics_735_7.txt
