#pK pK_min pK_max Entry
724 723 725 1712.77
726 725 727 3657.89
728 727 729 5855.76
730 729 731 8086.67
732 731 733 10284
734 733 735 12422
738 737 739 14200.8
742 741 743 13454.2
746 745 747 10321.8
750 749 751 6734.38
754 753 755 4595.84
758 757 759 3245.83
762 761 763 2127.53
766 765 767 1709.14
770 769 771 1073.67
