#pK pK_min pK_max Luminosity
724 723 725 14225.7
726 725 727 16498.2
728 727 729 18624.1
730 729 731 20429.2
732 731 733 21755.6
734 733 735 22479.2
738 737 739 21916.7
742 741 743 19005.9
746 745 747 14829
750 749 751 10689.7
754 753 755 7476.62
758 757 759 5424.56
762 761 763 4250.8
766 765 767 3502.19
770 769 771 2841.25
